id,year,school,school_composition,school_involvement,sep,sep_alpha,sep_beta,oa_1,oa_2,oa_3,oa_4,tr_1,tr_2,em_1,em_2,em_3,em_4,ia_1,ia_2,wc_1,wc_2,cq_1,cq_2,cq_3,cq_4,cq_5,mb_1,mb_2,dp_1,dp_2,mb_3,mb_4,mb_5
3,8,28,catholic,1,NA,0.5656306063041668,4.259684215677741,3,2,3,2,3,3,1,2,1,1,1,1,3,3,1,1,1,1,1,3,2,5,5,5,5,4
3,9,28,catholic,1,NA,0.5656306063041668,4.259684215677741,3,NA,2,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,4,5,4,3
3,10,28,catholic,1,NA,0.5656306063041668,4.259684215677741,3,2,3,2,2,2,2,3,2,2,2,1,2,2,1,2,1,1,1,1,2,3,4,4,3,1
3,12,28,catholic,1,NA,0.5656306063041668,4.259684215677741,3,3,3,2,2,2,2,2,2,3,1,2,2,2,1,2,3,1,1,3,3,3,5,4,4,4
4,8,28,catholic,1,NA,0.800707080536275,5.76061292879427,3,3,3,3,4,3,2,3,2,4,3,3,3,3,1,2,1,2,1,4,4,3,3,5,5,5
4,9,28,catholic,1,NA,0.800707080536275,5.76061292879427,4,3,4,3,4,NA,3,3,4,5,1,3,3,3,2,NA,2,2,2,5,3,3,5,4,3,3
4,10,28,catholic,1,NA,0.800707080536275,5.76061292879427,3,3,4,3,4,4,4,5,4,5,1,1,5,5,2,3,3,2,2,3,5,5,5,5,5,5
4,12,28,catholic,1,NA,0.800707080536275,5.76061292879427,4,4,4,4,4,4,5,5,4,5,1,1,5,5,1,3,3,2,2,5,5,5,5,5,5,5
5,8,12,catholic,3,NA,1.0832008177340913,1.5226418934408135,4,4,5,5,5,5,5,4,3,5,1,1,3,3,1,1,1,2,2,3,5,5,5,3,5,3
5,9,12,catholic,3,NA,1.0832008177340913,1.5226418934408135,4,2,4,3,3,3,2,5,2,5,1,1,2,2,2,2,4,2,2,3,3,3,5,5,5,5
5,10,12,catholic,3,NA,1.0832008177340913,1.5226418934408135,5,3,5,5,4,5,2,3,3,3,1,1,3,3,1,2,1,1,1,2,3,5,5,5,5,5
10,8,35,protestant,3,NA,2.895368623950058,6.336085065094098,NA,NA,NA,NA,NA,NA,3,3,3,4,2,2,3,2,4,4,4,2,2,3,2,3,4,NA,NA,NA
10,9,35,protestant,3,NA,2.895368623950058,6.336085065094098,5,5,5,5,5,5,4,5,5,5,1,1,3,3,5,5,5,3,3,4,5,5,5,4,1,3
10,11,35,protestant,3,NA,2.895368623950058,6.336085065094098,5,5,5,5,5,5,4,3,4,4,1,1,4,4,5,5,5,3,3,3,3,4,5,2,3,3
12,8,48,catholic,3,NA,6.089362600173073,11.676552042735288,1,1,1,2,1,2,1,1,2,5,3,5,1,1,1,1,1,1,1,1,2,1,1,5,3,1
12,9,48,catholic,3,NA,6.089362600173073,11.676552042735288,2,1,1,3,3,2,3,3,2,4,4,5,1,1,1,1,1,1,1,4,1,1,1,5,3,3
13,8,6,catholic,1,NA,1.8592631480728075,48.629317099794235,4,2,4,4,4,3,2,2,4,5,1,2,2,2,1,1,1,1,1,5,3,3,5,5,5,3
